"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"41","RT @CBSNews: New study blames contaminated water in Flint, Michigan, for severe health problems, including lower fertility rates https://t.â€¦",FALSE,0,NA,2017-09-22 01:06:41,FALSE,NA,"911033979377250304",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Kathmandu1214",155,TRUE,FALSE,NA,NA,"  ","en","http://pbs.twimg.com/profile_images/877295963487916032/rPer4_3M_normal.jpg"
"42","RT @AJEnglish: Nigeria's @MBuhari likened the Myanmar crisis to the Bosnia and Rwanda genocides in his speech at the #UNGA. https://t.co/sqâ€¦",FALSE,0,NA,2017-09-22 01:06:39,FALSE,NA,"911033970221027330",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Affaanv",2448,TRUE,FALSE,NA,NA,"Mystic Falls","en","http://pbs.twimg.com/profile_images/876155963396542464/-C3UZa1r_normal.jpg"
"43","RT @BieglerTom: 1/ Oz power 'crisis' is failure of risk management induced by faith in technology forecasts. They might all be correct butâ€¦",FALSE,0,NA,2017-09-22 01:06:38,FALSE,NA,"911033967956103169",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RogerXMathew",2,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/378800000151604542/92dcfa04f14ac897b5d2a769b19dca72_normal.jpeg"
"44","RT @UltraSuristic_: This is a good omen. Real Madrid won 2 UCLs + 1 La Liga title after the last time Barca's @Sport_en mentioned a 'crisisâ€¦",FALSE,0,NA,2017-09-22 01:06:38,FALSE,NA,"911033967050190849",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ChaudharyNizam",22,TRUE,FALSE,NA,NA,"Dubai, United Arab Emirates","en","http://pbs.twimg.com/profile_images/910502648872341504/w4bFTfY-_normal.jpg"
"45","RT @L3n_peWoman: @KrukMatt @HettiVonG @lovetogive2 @TanyasTwit @Sparklepuff2 @1jasliz @SW_Crisis @badwolf303 @MtnMD @rubenkmajor @ItIsIMackâ€¦",FALSE,0,NA,2017-09-22 01:06:38,FALSE,NA,"911033966861336577",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lovetogive2",4,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/839755353139011584/dh187Kmh_normal.jpg"
"46","RT @frosty8556: Flint water crisis blamed for lower fertility rates, increased fetal death rates https://t.co/bNIwCNFq2F  That's disgracefuâ€¦",FALSE,0,NA,2017-09-22 01:06:37,FALSE,NA,"911033963904454656",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_C1TYofFL1NT__",2,TRUE,FALSE,NA,NA,"Flint, MI","en","http://pbs.twimg.com/profile_images/899888105670361088/KAraPeXF_normal.jpg"
"47","RT @mattdpearce: After Flint's water was poisoned in 2014, fertility decreased 12% among women and fetal death rates increased 58%. https:/â€¦",FALSE,0,NA,2017-09-22 01:06:34,FALSE,NA,"911033948892831744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rockinamanda",1800,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/560968469462523904/Raw-Alxd_normal.jpeg"
"48","RT @mattdpearce: After Flint's water was poisoned in 2014, fertility decreased 12% among women and fetal death rates increased 58%. https:/â€¦",FALSE,0,NA,2017-09-22 01:06:34,FALSE,NA,"911033948150648833",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","MSkurzewski",1800,TRUE,FALSE,NA,NA,"Wausau, WI","en","http://pbs.twimg.com/profile_images/861971402169212928/r0bieH9R_normal.jpg"
"49","RT @PAEAonline: We urge all senators to vote against the #GrahamCassidy bill, which would only deepen the #healthcare crisis https://t.co/aâ€¦",FALSE,0,NA,2017-09-22 01:06:33,FALSE,NA,"911033943822147584",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","UNC_PA",4,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/809838380221681664/BM-QqQDv_normal.jpg"
"50","Rohingya crisis: Centre, NHRC on opposite sides of refugee question - The Indian Express https://t.co/g6QzkSJjla",FALSE,0,NA,2017-09-22 01:06:31,FALSE,NA,"911033938063306752",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","NewsStoryIndia",0,FALSE,FALSE,NA,NA,"India","en","http://pbs.twimg.com/profile_images/829323773769818113/0Z6sbzum_normal.jpg"
"51","RT @twelveoclocke: anyone who watches Chopped knows our healthcare system is in a crisis, every 3rd chef is like ""i'm here to win money forâ€¦",FALSE,0,NA,2017-09-22 01:06:29,FALSE,NA,"911033927258718208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ramones_shirt",7499,TRUE,FALSE,NA,NA,"Canada | EST 19XX | bloom <ed><U+00A0><U+00BE><ed><U+00B5><U+0080>","en","http://pbs.twimg.com/profile_images/909672075391942658/rL1JUo9z_normal.jpg"
"52","RT @FootbalIStuff: August: Barcelona in crisis, decline incoming. Real set to win it all.

September: Barcelona 7 points ahead after concedâ€¦",FALSE,0,NA,2017-09-22 01:06:28,FALSE,NA,"911033926315134978",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Bee_mamu",271,TRUE,FALSE,NA,NA,"Old Trafford ","en","http://pbs.twimg.com/profile_images/907998147636494336/Wozb3z5N_normal.jpg"
"53","Call 1800 774 5935 to speak to an AWARE (Singapore) https://t.co/05dnxgo7vA helpliner - open to all women with crisis of any kind",FALSE,0,NA,2017-09-22 01:06:27,FALSE,NA,"911033922150191104",NA,"<a href=""http://www.thepixelproject.net/"" rel=""nofollow""> PixelTweeter</a>","PixelProject",1,FALSE,FALSE,NA,NA,"We are global!","en","http://pbs.twimg.com/profile_images/3497459799/132ba3226fd809b15c18edd4d5a6b9f6_normal.jpeg"
"54","RT @TomFitton: There is a constitutional crisis.  And the media is ignoring it.  And so is Congress. But @JudicialWatch is on it. https://tâ€¦",FALSE,0,NA,2017-09-22 01:06:27,FALSE,NA,"911033920757616640",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rlockrocks",1337,TRUE,FALSE,NA,NA,"Raleigh, NC","en","http://pbs.twimg.com/profile_images/743628549312094209/b6PrvTN-_normal.jpg"
"55","@Soulsdeath87 Ill be there in a few minutes... crisis averted",FALSE,0,"Soulsdeath87",2017-09-22 01:06:24,FALSE,"911033763085332480","911033909856567296","616253957","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mori_mori_kun",0,FALSE,FALSE,NA,NA,"South Carolina, USA","en","http://pbs.twimg.com/profile_images/910299737076768768/qTw26VeF_normal.jpg"
"56","RT @Iam_BrookeSmith: 1) Text 741741 when feeling depressed / suicidal + crisis worker will text U back immediately + continue to text withâ€¦",FALSE,0,NA,2017-09-22 01:06:24,FALSE,NA,"911033908011180037",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","emilyottoscheer",38,TRUE,FALSE,NA,NA,"Wisconsin","en","http://pbs.twimg.com/profile_images/908165169469169666/9pSASx-T_normal.jpg"
"57","iâ€™m having a layout crisis í ¾í´§",FALSE,0,NA,2017-09-22 01:06:24,FALSE,NA,"911033906908065793",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hoIyaoa",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/911033832157143040/KVbwSxFI_normal.jpg"
"58","RT @JimOwczarski: A big help to a #Bengals offense that is trying to find itself under a new offensive coordinator. 
https://t.co/FlvYFkKHsâ€¦",FALSE,0,NA,2017-09-22 01:06:22,FALSE,NA,"911033900746645507",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LndsPatterson",4,TRUE,FALSE,NA,NA,"Cincinnati, OH","en","http://pbs.twimg.com/profile_images/899831167356207106/Xs5VvytY_normal.jpg"
"59","RT @mattdpearce: After Flint's water was poisoned in 2014, fertility decreased 12% among women and fetal death rates increased 58%. https:/â€¦",FALSE,0,NA,2017-09-22 01:06:22,FALSE,NA,"911033898422996992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chadmhorner",1800,TRUE,FALSE,NA,NA,"New York, USA","en","http://pbs.twimg.com/profile_images/773102599943970816/tDqhhGhL_normal.jpg"
"60","RT @GGhanepoorNews: Rohingya crisis dents Myanmar hopes of Western investment boom
https://t.co/hES9dnRP0h https://t.co/HOH1zdkOmy",FALSE,0,NA,2017-09-22 01:06:22,FALSE,NA,"911033898406117377",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","NaghashzadehH",1,TRUE,FALSE,NA,NA,"Toronto , Ontario","en","http://pbs.twimg.com/profile_images/867847793137897472/P2oxzWW3_normal.jpg"
"61","RT @MarshallProj: A 12-year-old in a mental health crisis was sent to a South Dakota hospital. She was sent to jail an hour later. https://â€¦",FALSE,0,NA,2017-09-22 01:06:20,FALSE,NA,"911033892399849472",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RadioGirlMurphy",28,TRUE,FALSE,NA,NA,"Seattle, WA","en","http://pbs.twimg.com/profile_images/881518657205018625/0GnGEOtC_normal.jpg"
"62","RT @Maryamhasnaa: For those who have their attention too much on the material realm the soul will attempt to make its presence known with aâ€¦",FALSE,0,NA,2017-09-22 01:06:20,FALSE,NA,"911033890558611457",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_teiajones",20,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/866351696083120129/vXdaR6X6_normal.jpg"
"63","I'm having an Asian person crisis!!! I'm out of soy sauce, rice and toilet paper!!!!",FALSE,0,NA,2017-09-22 01:06:14,FALSE,NA,"911033867720564736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DesignerTi",0,FALSE,FALSE,NA,NA,"San Francisco, CA","en","http://pbs.twimg.com/profile_images/839631992710807552/ujcWiZny_normal.jpg"
